,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.0990244353515038,2007
1,South,-36,0.10785365487191045,2007
2,North,-30,0.07220691039845219,2007
3,South,-30,0.05427186669693045,2007
4,North,-24,0.0444958698936136,2007
5,South,-24,0.028230523278483972,2007
6,North,-18,0.024847199943529092,2007
7,South,-18,0.018139358912473418,2007
8,North,-12,0.007436255020602269,2007
9,South,-12,0.005800763781427902,2007
10,North,-6,0.0,2007
11,South,-6,0.0,2007
12,North,-36,0.09528374681413239,2008
13,South,-36,0.10810229598094132,2008
14,North,-30,0.07402933563416739,2008
15,South,-30,0.053573554506131195,2008
16,North,-24,0.04596888260254597,2008
17,South,-24,0.027669757266988834,2008
18,North,-18,0.02529137584514437,2008
19,South,-18,0.017999175247944796,2008
20,North,-12,0.006799570412135857,2008
21,South,-12,0.005968064801452446,2008
22,North,-6,0.0,2008
23,South,-6,0.0,2008
24,North,-36,0.09456825556614584,2009
25,South,-36,0.1054138866039058,2009
26,North,-30,0.06938629544344428,2009
27,South,-30,0.05095891237758967,2009
28,North,-24,0.04315120123360639,2009
29,South,-24,0.026692518802624028,2009
30,North,-18,0.024620796827182503,2009
31,South,-18,0.017385307467458457,2009
32,North,-12,0.007172971334854535,2009
33,South,-12,0.005648121999435188,2009
34,North,-6,0.0,2009
35,South,-6,0.0,2009
36,North,-36,0.09611456583904499,2010
37,South,-36,0.1126824105670925,2010
38,North,-30,0.072593604188005,2010
39,South,-30,0.05735748952822364,2010
40,North,-24,0.046006756078365324,2010
41,South,-24,0.02970934614130007,2010
42,North,-18,0.027310356152739006,2010
43,South,-18,0.01936465070002132,2010
44,North,-12,0.007714128327354902,2010
45,South,-12,0.006135664031420321,2010
46,North,-6,0.0,2010
47,South,-6,0.0,2010
48,North,-36,0.09579087835163468,2011
49,South,-36,0.11235742893393448,2011
50,North,-30,0.07834015883431002,2011
51,South,-30,0.06029760723310592,2011
52,North,-24,0.0498486799742434,2011
53,South,-24,0.032687312354977946,2011
54,North,-18,0.029339835799991887,2011
55,South,-18,0.023224684134129328,2011
56,North,-12,0.009439437079487132,2011
57,South,-12,0.007982766232958098,2011
58,North,-6,0.0,2011
59,South,-6,0.0,2011
