,Hemisphere,Season,min_temp,Occurance rate,year
0,North,DJF,-36,0.10118555744810025,2007
1,North,JJA,-36,0.1544684711931045,2007
2,North,MAM,-36,0.14495766364143386,2007
3,North,SON,-36,0.1166482224374049,2007
4,South,DJF,-36,0.16011944818304172,2007
5,South,JJA,-36,0.08442004118050789,2007
6,South,MAM,-36,0.11078454894433781,2007
7,South,SON,-36,0.13438951533444896,2007
8,North,DJF,-30,0.050208606818388596,2007
9,North,JJA,-30,0.10908540736818216,2007
10,North,MAM,-30,0.09715202949683735,2007
11,North,SON,-30,0.06677029127525849,2007
12,South,DJF,-30,0.07841714149533115,2007
13,South,JJA,-30,0.03518636171113935,2007
14,South,MAM,-30,0.045309049654585605,2007
15,South,SON,-30,0.0650721588602222,2007
16,North,DJF,-24,0.0197189407088069,2007
17,North,JJA,-24,0.0779239846574538,2007
18,North,MAM,-24,0.05288865713890455,2007
19,North,SON,-24,0.040502359223575285,2007
20,South,DJF,-24,0.04321404456448346,2007
21,South,JJA,-24,0.01754694896468858,2007
22,South,MAM,-24,0.01917428650595733,2007
23,South,SON,-24,0.03427603725656223,2007
24,North,DJF,-18,0.008205191798941799,2007
25,North,JJA,-18,0.05019345393704904,2007
26,North,MAM,-18,0.025250978671985565,2007
27,North,SON,-18,0.016197898314921137,2007
28,South,DJF,-18,0.02767837938249154,2007
29,South,JJA,-18,0.01208238379842628,2007
30,South,MAM,-18,0.010662155250422946,2007
31,South,SON,-18,0.022313982106822502,2007
32,North,DJF,-12,0.0018669985775248933,2007
33,North,JJA,-12,0.014736077195413566,2007
34,North,MAM,-12,0.008284423634924822,2007
35,North,SON,-12,0.003468287828477402,2007
36,South,DJF,-12,0.007857952398942198,2007
37,South,JJA,-12,0.003918360316913538,2007
38,South,MAM,-12,0.003726541254937947,2007
39,South,SON,-12,0.00799741184082821,2007
40,North,DJF,-6,0.0,2007
41,North,JJA,-6,0.0,2007
42,North,MAM,-6,0.0,2007
43,North,SON,-6,0.0,2007
44,South,DJF,-6,0.0,2007
45,South,JJA,-6,0.0,2007
46,South,MAM,-6,0.0,2007
47,South,SON,-6,0.0,2007
48,North,DJF,-36,0.09865308922832484,2008
49,North,JJA,-36,0.16130888760996465,2008
50,North,MAM,-36,0.13272705516333613,2008
51,North,SON,-36,0.11482593244315634,2008
52,South,DJF,-36,0.15350373139756476,2008
53,South,JJA,-36,0.08979710410837423,2008
54,South,MAM,-36,0.10973182849270079,2008
55,South,SON,-36,0.131061730041509,2008
56,North,DJF,-30,0.057467511264938285,2008
57,North,JJA,-30,0.11200293350717079,2008
58,North,MAM,-30,0.09068848582895186,2008
59,North,SON,-30,0.07255933794790052,2008
60,South,DJF,-30,0.07483077898263646,2008
61,South,JJA,-30,0.03945237544399233,2008
62,South,MAM,-30,0.04352615788486781,2008
63,South,SON,-30,0.0588403313339046,2008
64,North,DJF,-24,0.025110670126698213,2008
65,North,JJA,-24,0.08171016933295912,2008
66,North,MAM,-24,0.048856431739268485,2008
67,North,SON,-24,0.04407511451226769,2008
68,South,DJF,-24,0.042638062169312166,2008
69,South,JJA,-24,0.017156085932009537,2008
70,South,MAM,-24,0.01758347602739726,2008
71,South,SON,-24,0.031559563119126235,2008
72,North,DJF,-18,0.010107911500512429,2008
