,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.19170362158167037,2007
1,South,-36,0.1731696378517771,2007
2,North,-30,0.12324179504353651,2007
3,South,-30,0.0802307787356595,2007
4,North,-24,0.07262449141252296,2007
5,South,-24,0.04225118562000464,2007
6,North,-18,0.04878177407446472,2007
7,South,-18,0.026216419393583285,2007
8,North,-12,0.01328948860415013,2007
9,South,-12,0.007504943375876326,2007
10,North,-6,0.0,2007
11,South,-6,0.0,2007
12,North,-36,0.19605744358219607,2008
13,South,-36,0.16346139227997628,2008
14,North,-30,0.13369381883123327,2008
15,South,-30,0.07473136628297808,2008
16,North,-24,0.073974421692641,2008
17,South,-24,0.03959784573187899,2008
18,North,-18,0.04891347086424284,2008
19,South,-18,0.02611591381843858,2008
20,North,-12,0.013346929526399275,2008
21,South,-12,0.00870060467990742,2008
22,North,-6,0.0,2008
23,South,-6,0.0,2008
24,North,-36.0,0.19042171890490353,2009
25,South,-36.0,0.1582375297661289,2009
26,North,-30.0,0.1297676457693994,2009
27,South,-30.0,0.07337699497679151,2009
28,North,-24.0,0.07399529472429019,2009
29,South,-24.0,0.04000254445989295,2009
30,North,-18.0,0.04888125637770975,2009
31,South,-18.0,0.02492622062833875,2009
32,North,-12.0,0.013092962254923754,2009
33,South,-12.0,0.007046115694596786,2009
34,North,-6.0,0.0,2009
35,South,-6.0,0.0,2009
36,North,-36,0.19224653592791702,2010
37,South,-36,0.17573186959414505,2010
38,North,-30,0.13803469147337205,2010
39,South,-30,0.0821662871817265,2010
40,North,-24,0.08300515920261319,2010
41,South,-24,0.04296609134221043,2010
42,North,-18,0.05191205041937166,2010
43,South,-18,0.027044345353042377,2010
44,North,-12,0.013290890675706402,2010
45,South,-12,0.007894138412725914,2010
46,North,-6,0.0,2010
47,South,-6,0.0,2010
48,North,-36,0.19755730034102625,2011
49,South,-36,0.18191687596208378,2011
50,North,-30,0.1380791373480764,2011
51,South,-30,0.08777949274153178,2011
52,North,-24,0.0852524721574296,2011
53,South,-24,0.048132875345477666,2011
54,North,-18,0.056688610110545275,2011
55,South,-18,0.033192352626859996,2011
56,North,-12,0.01652480887098521,2011
57,South,-12,0.010036506536567938,2011
58,North,-6,0.0,2011
59,South,-6,0.0,2011
60,North,-36,0.19440433212996389,2012
61,South,-36,0.17799197748907383,2012
62,North,-30,0.13884057971014493,2012
63,South,-30,0.08170608370935117,2012
64,North,-24,0.08381866313699536,2012
65,South,-24,0.042940412859215515,2012
66,North,-18,0.055158790457377295,2012
67,South,-18,0.02839833396440742,2012
68,North,-12,0.014335380169767022,2012
69,South,-12,0.008260675424784376,2012
70,North,-6,0.0,2012
71,South,-6,0.0,2012
72,North,-36,0.18575002017267814,2013
73,South,-36,0.1656276524131472,2013
74,North,-30,0.12682857548643658,2013
75,South,-30,0.07667798880543462,2013
76,North,-24,0.07738214980218601,2013
77,South,-24,0.03927298996831235,2013
78,North,-18,0.050896530705541725,2013
79,South,-18,0.025390254420008626,2013
80,North,-12,0.014108377994594842,2013
81,South,-12,0.006818812815814315,2013
82,North,-6,0.0,2013
83,South,-6,0.0,2013
84,North,-36,0.17342209488497515,2014
85,South,-36,0.1632261685740123,2014
86,North,-30,0.11200879625203174,2014
87,South,-30,0.0722194908189222,2014
88,North,-24,0.06344592562894658,2014
89,South,-24,0.03668954573969519,2014
90,North,-18,0.0426318255166311,2014
91,South,-18,0.024342325937994153,2014
92,North,-12,0.010696986006458558,2014
93,South,-12,0.006696456048352352,2014
94,North,-6,0.0,2014
95,South,-6,0.0,2014
96,North,-36,0.2013894772515462,2015
97,South,-36,0.1565907608189133,2015
98,North,-30,0.1231968416257529,2015
99,South,-30,0.07255177703912043,2015
100,North,-24,0.063153732791776,2015
101,South,-24,0.03973867501754765,2015
102,North,-18,0.04353654109302131,2015
103,South,-18,0.026559911651021534,2015
104,North,-12,0.012350035285815103,2015
105,South,-12,0.00783049286043298,2015
106,North,-6,0.0,2015
107,South,-6,0.0,2015
108,North,-36.0,0.17198764160659114,2016
109,South,-36.0,0.15840479356781462,2016
110,North,-30.0,0.10647279549718575,2016
111,South,-30.0,0.07587004137259674,2016
112,North,-24.0,0.06278059641566595,2016
113,South,-24.0,0.0391343753206334,2016
114,North,-18.0,0.04322189616871897,2016
115,South,-18.0,0.023941889127812453,2016
116,North,-12.0,0.011608467352657232,2016
117,South,-12.0,0.0070777080417212266,2016
118,North,-6.0,0.0,2016
119,South,-6.0,0.0,2016
