,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.11327489720857693,2007
1,South,-36,0.10537380697729481,2007
2,North,-30,0.06810898775587546,2007
3,South,-30,0.04463311966298902,2007
4,North,-24,0.039105885992729524,2007
5,South,-24,0.022885415522049413,2007
6,North,-18,0.02054844757124039,2007
7,South,-18,0.014273883324431535,2007
8,North,-12,0.005254972751505838,2007
9,South,-12,0.004293354963815414,2007
10,North,-6,0.0,2007
11,South,-6,0.0,2007
12,North,-36,0.10896041757285777,2008
13,South,-36,0.10325832484093976,2008
14,North,-30,0.06949027415800718,2008
15,South,-30,0.0437343367714972,2008
16,North,-24,0.03878811932574922,2008
17,South,-24,0.02269982104301469,2008
18,North,-18,0.020688224224731922,2008
19,South,-18,0.014327294367926562,2008
20,North,-12,0.005067159977479289,2008
21,South,-12,0.004566545591971278,2008
22,North,-6,0.0,2008
23,South,-6,0.0,2008
24,North,-36.0,0.10616236684979091,2009
25,South,-36.0,0.10051646374237573,2009
26,North,-30.0,0.06413428115116024,2009
27,South,-30.0,0.0415016501650165,2009
28,North,-24.0,0.036742994143182495,2009
29,South,-24.0,0.022277739548411373,2009
30,North,-18.0,0.019993781631630767,2009
31,South,-18.0,0.01390661355440247,2009
32,North,-12.0,0.00487226211056946,2009
33,South,-12.0,0.004284937697858597,2009
34,North,-6.0,0.0,2009
35,South,-6.0,0.0,2009
36,North,-36,0.11299651653219557,2010
37,South,-36,0.11319347140992105,2010
38,North,-30,0.06913833143458067,2010
39,South,-30,0.04790445632273251,2010
40,North,-24,0.04039190242366771,2010
41,South,-24,0.0241694155867932,2010
42,North,-18,0.022316953741574976,2010
43,South,-18,0.014829577861839733,2010
44,North,-12,0.005626942559664558,2010
45,South,-12,0.004584829353585777,2010
46,North,-6,0.0,2010
47,South,-6,0.0,2010
48,North,-36,0.11317838827206327,2011
49,South,-36,0.11383647202661334,2011
50,North,-30,0.07433497702190467,2011
51,South,-30,0.050629045374428264,2011
52,North,-24,0.04314315950013228,2011
53,South,-24,0.027023898122881005,2011
54,North,-18,0.024219492948627158,2011
55,South,-18,0.0185540354781698,2011
56,North,-12,0.0066226657919907055,2011
57,South,-12,0.0059378251168329815,2011
58,North,-6,0.0,2011
59,South,-6,0.0,2011
60,North,-36,0.11594886824631993,2012
61,South,-36,0.11311737536689545,2012
62,North,-30,0.07563219007267169,2012
63,South,-30,0.04802460621007238,2012
64,North,-24,0.04518756620520875,2012
65,South,-24,0.024415599370497844,2012
66,North,-18,0.02403331815655176,2012
67,South,-18,0.016013069838012074,2012
68,North,-12,0.005892525294239108,2012
69,South,-12,0.00501311844077961,2012
70,North,-6,0.0,2012
71,South,-6,0.0,2012
72,North,-36,0.10817557551076047,2013
73,South,-36,0.1051197638778522,2013
74,North,-30,0.066,2013
75,South,-30,0.044162973065121035,2013
76,North,-24,0.03769718436787374,2013
77,South,-24,0.022171539323311288,2013
78,North,-18,0.02121412559073618,2013
79,South,-18,0.013451849324665989,2013
80,North,-12,0.005511766281627716,2013
81,South,-12,0.003828604732786574,2013
82,North,-6,0.0,2013
83,South,-6,0.0,2013
84,North,-36,0.10453249714937286,2014
85,South,-36,0.10287818761169051,2014
86,North,-30,0.06334827828102602,2014
87,South,-30,0.041626331074540175,2014
88,North,-24,0.035410211997755604,2014
89,South,-24,0.020678274919641783,2014
90,North,-18,0.018808918419727025,2014
91,South,-18,0.013351924187589922,2014
92,North,-12,0.004139813761184494,2014
93,South,-12,0.0035864767255216696,2014
94,North,-6,0.0,2014
95,South,-6,0.0,2014
96,North,-36,0.11117765601858222,2015
97,South,-36,0.09668187939548108,2015
98,North,-30,0.06376708046798249,2015
99,South,-30,0.04147526922710378,2015
100,North,-24,0.03348455822826409,2015
101,South,-24,0.02203125802420528,2015
102,North,-18,0.019145333688500247,2015
103,South,-18,0.014291637686587127,2015
104,North,-12,0.004972277469749664,2015
105,South,-12,0.004318618042226488,2015
106,North,-6,0.0,2015
107,South,-6,0.0,2015
108,North,-36.0,0.10530095877608944,2016
109,South,-36.0,0.09480687986279783,2016
110,North,-30.0,0.059040962597303966,2016
111,South,-30.0,0.04120893766592861,2016
112,North,-24.0,0.0332821895086046,2016
113,South,-24.0,0.021395284046298407,2016
114,North,-18.0,0.019238298685393364,2016
115,South,-18.0,0.013369930386939323,2016
116,North,-12.0,0.004744106202164739,2016
117,South,-12.0,0.003965728755961714,2016
118,North,-6.0,0.0,2016
119,South,-6.0,0.0,2016
