,Hemisphere,Season,min_temp,Occurance rate,year
0,North,DJF,-36,0.09278192020908602,2007
1,North,JJA,-36,0.1507485313625166,2007
2,North,MAM,-36,0.13605074097453934,2007
3,North,SON,-36,0.10966480911586127,2007
4,South,DJF,-36,0.14584967976205682,2007
5,South,JJA,-36,0.07153000424553853,2007
6,South,MAM,-36,0.09683029125078549,2007
7,South,SON,-36,0.11806764370075055,2007
8,North,DJF,-30,0.0452724119370851,2007
9,North,JJA,-30,0.10171619924654668,2007
10,North,MAM,-30,0.08954289292423294,2007
11,North,SON,-30,0.058340136054421766,2007
12,South,DJF,-30,0.06549139025822398,2007
13,South,JJA,-30,0.027558146596222747,2007
14,South,MAM,-30,0.03677977956250151,2007
15,South,SON,-30,0.05234496716609153,2007
16,North,DJF,-24,0.017531169446051872,2007
17,North,JJA,-24,0.06993903673542844,2007
18,North,MAM,-24,0.046093604325936975,2007
19,North,SON,-24,0.03403531901606356,2007
20,South,DJF,-24,0.03451047189501715,2007
21,South,JJA,-24,0.014679244395304525,2007
22,South,MAM,-24,0.01660889970075994,2007
23,South,SON,-24,0.027016636839663287,2007
24,North,DJF,-18,0.006346522510508079,2007
25,North,JJA,-18,0.043795238966265124,2007
26,North,MAM,-18,0.02083169484860401,2007
27,North,SON,-18,0.01272070421818552,2007
28,South,DJF,-18,0.022303315767383296,2007
29,South,JJA,-18,0.010264452206144414,2007
30,South,MAM,-18,0.008224788505438431,2007
31,South,SON,-18,0.01683433392828168,2007
32,North,DJF,-12,0.0013055398407241395,2007
33,North,JJA,-12,0.010970858656693158,2007
34,North,MAM,-12,0.005791596543845958,2007
35,North,SON,-12,0.0023979693293874065,2007
36,South,DJF,-12,0.006190068599357424,2007
37,South,JJA,-12,0.002889739114352756,2007
38,South,MAM,-12,0.002993262029406608,2007
39,South,SON,-12,0.005347359832148269,2007
40,North,DJF,-6,0.0,2007
41,North,JJA,-6,0.0,2007
42,North,MAM,-6,0.0,2007
43,North,SON,-6,0.0,2007
44,South,DJF,-6,0.0,2007
45,South,JJA,-6,0.0,2007
46,South,MAM,-6,0.0,2007
47,South,SON,-6,0.0,2007
48,North,DJF,-36,0.0876830246001941,2008
49,North,JJA,-36,0.15641424956200117,2008
50,North,MAM,-36,0.12444468670791202,2008
51,North,SON,-36,0.10708755211435378,2008
52,South,DJF,-36,0.13634468117370535,2008
53,South,JJA,-36,0.07463399108847868,2008
54,South,MAM,-36,0.09487672549962228,2008
55,South,SON,-36,0.11044823608956768,2008
56,North,DJF,-30,0.049619261953941486,2008
57,North,JJA,-30,0.10566464885082927,2008
58,North,MAM,-30,0.08301585895277754,2008
59,North,SON,-30,0.06386183891967505,2008
60,South,DJF,-30,0.060439482393716,2008
61,South,JJA,-30,0.031852848811126065,2008
62,South,MAM,-30,0.034398696052724824,2008
63,South,SON,-30,0.047691214776225434,2008
64,North,DJF,-24,0.020015426651501484,2008
65,North,JJA,-24,0.07148775547781255,2008
66,North,MAM,-24,0.04139264528603655,2008
67,North,SON,-24,0.035307028825213915,2008
68,South,DJF,-24,0.034160594926073165,2008
69,South,JJA,-24,0.015386505328460429,2008
70,South,MAM,-24,0.014477504088437013,2008
71,South,SON,-24,0.025779140208743886,2008
72,North,DJF,-18,0.007691029506017518,2008
73,North,JJA,-18,0.04263525351044636,2008
74,North,MAM,-18,0.01977798245188812,2008
75,North,SON,-18,0.014797170492276598,2008
76,South,DJF,-18,0.022324960443037976,2008
77,South,JJA,-18,0.009759173623205813,2008
78,South,MAM,-18,0.008381324557795146,2008
79,South,SON,-18,0.016113404981591067,2008
80,North,DJF,-12,0.002369484581741682,2008
81,North,JJA,-12,0.00957973141956179,2008
82,North,MAM,-12,0.005824286211026542,2008
83,North,SON,-12,0.0025599582375440463,2008
84,South,DJF,-12,0.007492803327686184,2008
85,South,JJA,-12,0.0031033977543654017,2008
86,South,MAM,-12,0.0025388899019511578,2008
87,South,SON,-12,0.0051945330159728145,2008
88,North,DJF,-6,0.0,2008
89,North,JJA,-6,0.0,2008
90,North,MAM,-6,0.0,2008
91,North,SON,-6,0.0,2008
92,South,DJF,-6,0.0,2008
93,South,JJA,-6,0.0,2008
94,South,MAM,-6,0.0,2008
95,South,SON,-6,0.0,2008
96,North,DJF,-36.0,0.08986832663006292,2009
97,North,JJA,-36.0,0.1476345037867611,2009
98,North,MAM,-36.0,0.13066935949221004,2009
99,North,SON,-36.0,0.09614011222581194,2009
100,South,DJF,-36.0,0.13012639435864656,2009
101,South,JJA,-36.0,0.06887794235456544,2009
102,South,MAM,-36.0,0.0931828408579571,2009
103,South,SON,-36.0,0.11569474846120746,2009
104,North,DJF,-30.0,0.04286408263448558,2009
105,North,JJA,-30.0,0.10180456247871979,2009
106,North,MAM,-30.0,0.0867752587208766,2009
107,North,SON,-30.0,0.05537999274724136,2009
108,South,DJF,-30.0,0.05669336731597791,2009
109,South,JJA,-30.0,0.026427852107610415,2009
110,South,MAM,-30.0,0.03374185299529111,2009
111,South,SON,-30.0,0.04961240310077519,2009
112,North,DJF,-24.0,0.016823056300268098,2009
113,North,JJA,-24.0,0.07420947236063895,2009
114,North,MAM,-24.0,0.04345986309894213,2009
115,North,SON,-24.0,0.029938001526689132,2009
116,South,DJF,-24.0,0.03360206128059713,2009
117,South,JJA,-24.0,0.014028987046081971,2009
118,South,MAM,-24.0,0.015460493774819463,2009
119,South,SON,-24.0,0.02569118945723796,2009
120,North,DJF,-18.0,0.007604288116881107,2009
121,North,JJA,-18.0,0.04196749717766284,2009
122,North,MAM,-18.0,0.019648031663015052,2009
123,North,SON,-18.0,0.014158844957324045,2009
124,South,DJF,-18.0,0.021060171919770772,2009
125,South,JJA,-18.0,0.009918068132815868,2009
126,South,MAM,-18.0,0.008429489394044082,2009
127,South,SON,-18.0,0.016042855740509614,2009
128,North,DJF,-12.0,0.0018505241537000794,2009
129,North,JJA,-12.0,0.009851417695784761,2009
130,North,MAM,-12.0,0.005324834910137167,2009
131,North,SON,-12.0,0.0027052103245134534,2009
132,South,DJF,-12.0,0.006167124809502785,2009
133,South,JJA,-12.0,0.0032919449794424184,2009
134,South,MAM,-12.0,0.0028389734272087214,2009
135,South,SON,-12.0,0.004912477990027078,2009
136,North,DJF,-6.0,0.0,2009
137,North,JJA,-6.0,0.0,2009
138,North,MAM,-6.0,0.0,2009
139,North,SON,-6.0,0.0,2009
140,South,DJF,-6.0,0.0,2009
141,South,JJA,-6.0,0.0,2009
142,South,MAM,-6.0,0.0,2009
143,South,SON,-6.0,0.0,2009
144,North,DJF,-36,0.09550592878086563,2010
145,North,JJA,-36,0.1671962309630766,2010
146,North,MAM,-36,0.12790189820258693,2010
147,North,SON,-36,0.11334012219959266,2010
148,South,DJF,-36,0.15183909785816999,2010
149,South,JJA,-36,0.08081861958266452,2010
150,South,MAM,-36,0.1021509969076216,2010
151,South,SON,-36,0.11773304376879386,2010
152,North,DJF,-30,0.05214067484084577,2010
153,North,JJA,-30,0.1069996749376964,2010
154,North,MAM,-30,0.08925057395867497,2010
155,North,SON,-30,0.05897404654563178,2010
156,South,DJF,-30,0.06936463974205283,2010
157,South,JJA,-30,0.03190118490115347,2010
158,South,MAM,-30,0.03621652860720478,2010
159,South,SON,-30,0.05286371771925339,2010
160,North,DJF,-24,0.023764867604058666,2010
161,North,JJA,-24,0.07168927933143705,2010
162,North,MAM,-24,0.04757712623440251,2010
163,North,SON,-24,0.033683018734410104,2010
164,South,DJF,-24,0.036604248318575505,2010
165,South,JJA,-24,0.01552808955179268,2010
166,South,MAM,-24,0.01540918562142064,2010
167,South,SON,-24,0.02773887827993493,2010
168,North,DJF,-18,0.011422062128629045,2010
169,North,JJA,-18,0.04261897798019471,2010
170,North,MAM,-18,0.02387205287851515,2010
171,North,SON,-18,0.015051592348336851,2010
172,South,DJF,-18,0.023079761465487483,2010
173,South,JJA,-18,0.010237905425250703,2010
174,South,MAM,-18,0.008170618759436176,2010
175,South,SON,-18,0.017091962960344948,2010
176,North,DJF,-12,0.002701894045859665,2010
177,North,JJA,-12,0.010620803069754693,2010
178,North,MAM,-12,0.007304370510467424,2010
179,North,SON,-12,0.0023606600981945936,2010
180,South,DJF,-12,0.00784927292329538,2010
181,South,JJA,-12,0.0031404631523388534,2010
182,South,MAM,-12,0.0022945514350893948,2010
183,South,SON,-12,0.00505210849610049,2010
184,North,DJF,-6,0.0,2010
185,North,JJA,-6,0.0,2010
186,North,MAM,-6,0.0,2010
187,North,SON,-6,0.0,2010
188,South,DJF,-6,0.0,2010
189,South,JJA,-6,0.0,2010
190,South,MAM,-6,0.0,2010
191,South,SON,-6,0.0,2010
