,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.1960334220916353,2008
1,South,-36,0.16348320718648493,2008
2,North,-30,0.13376337633763377,2008
3,South,-30,0.07461190202306954,2008
4,North,-24,0.07408976939647562,2008
5,South,-24,0.03990764865691847,2008
6,North,-18,0.04945288430893445,2008
7,South,-18,0.0262594200923023,2008
8,North,-12,0.013622974963181149,2008
9,South,-12,0.00869995056846268,2008
10,North,-6,0.0,2008
11,South,-6,0.0,2008
12,North,-36,0.1892269481527476,2009
13,South,-36,0.1581522174993985,2009
14,North,-30,0.1295207553892749,2009
15,South,-30,0.07310727510228757,2009
16,North,-24,0.07391545980581254,2009
17,South,-24,0.03998073217726397,2009
18,North,-18,0.048883493918013304,2009
19,South,-18,0.025044756789700223,2009
20,North,-12,0.013320689966585388,2009
21,South,-12,0.006979595304856584,2009
22,North,-6,0.0,2009
23,South,-6,0.0,2009
24,North,-36,0.1918174185176704,2010
25,South,-36,0.17527700360274626,2010
26,North,-30,0.13772258091047415,2010
27,South,-30,0.08184656556645852,2010
28,North,-24,0.0829025167941058,2010
29,South,-24,0.04296000214130852,2010
30,North,-18,0.05225298915004691,2010
31,South,-18,0.027258462228199956,2010
32,North,-12,0.013448485994662631,2010
33,South,-12,0.00789464955053571,2010
34,North,-6,0.0,2010
35,South,-6,0.0,2010
36,North,-36,0.1961572473671517,2011
37,South,-36,0.18086318814726723,2011
38,North,-30,0.13756368689207968,2011
39,South,-30,0.08706663545235917,2011
40,North,-24,0.0862091983178693,2011
41,South,-24,0.04798369276005448,2011
42,North,-18,0.05709748166074265,2011
43,South,-18,0.03320770092696343,2011
44,North,-12,0.017231462948903768,2011
45,South,-12,0.01005391726606404,2011
46,North,-6,0.0,2011
47,South,-6,0.0,2011
