,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.09229974651888197,2007
1,South,-36,0.09606338478943686,2007
2,North,-30,0.06587998102466794,2007
3,South,-30,0.0440121346366832,2007
4,North,-24,0.03885315566621328,2007
5,South,-24,0.022815489425704584,2007
6,North,-18,0.02051366161830648,2007
7,South,-18,0.014260105279566412,2007
8,North,-12,0.005254792992205961,2007
9,South,-12,0.0042932461376626995,2007
10,North,-6,0.0,2007
11,South,-6,0.0,2007
12,North,-36,0.0886979258875921,2008
13,South,-36,0.09388186094265835,2008
14,North,-30,0.06712043864624692,2008
15,South,-30,0.0430292410069179,2008
16,North,-24,0.03849300127249591,2008
17,South,-24,0.02261477835199149,2008
18,North,-18,0.0206411730879816,2008
19,South,-18,0.014312315287766712,2008
20,North,-12,0.0050664107087267825,2008
21,South,-12,0.004566050279036406,2008
22,North,-6,0.0,2008
23,South,-6,0.0,2008
24,North,-36.0,0.0883526163962902,2009
25,South,-36.0,0.0919271968744924,2009
26,North,-30.0,0.062413018965674874,2009
27,South,-30.0,0.040912300679160456,2009
28,North,-24.0,0.03652414554459877,2009
29,South,-24.0,0.022209530632728305,2009
30,North,-18.0,0.019966248558951464,2009
31,South,-18.0,0.01389477650605247,2009
32,North,-12.0,0.004872021824165955,2009
33,South,-12.0,0.004284770235413662,2009
34,North,-6.0,0.0,2009
35,South,-6.0,0.0,2009
36,North,-36,0.09030335826004185,2010
37,South,-36,0.10053644924119828,2010
38,North,-30,0.066496338829479,2010
39,South,-30,0.04704026855348642,2010
40,North,-24,0.04006855184233076,2010
41,South,-24,0.02406583718355794,2010
42,North,-18,0.022275633653801922,2010
43,South,-18,0.01481316551191209,2010
44,North,-12,0.005626601052490498,2010
45,South,-12,0.004584538693306373,2010
46,North,-6,0.0,2010
47,South,-6,0.0,2010
48,North,-36,0.08778602950532047,2011
49,South,-36,0.1005272849012387,2011
50,North,-30,0.0710537285037889,2011
51,South,-30,0.049564299583211756,2011
52,North,-24,0.04276876557208865,2011
53,South,-24,0.026898004872588397,2011
54,North,-18,0.0241684261534734,2011
55,South,-18,0.018527596935707377,2011
56,North,-12,0.006621969416265259,2011
57,South,-12,0.005937586764031939,2011
58,North,-6,0.0,2011
59,South,-6,0.0,2011
60,North,-36,0.08861512373214885,2012
61,South,-36,0.1004787149865485,2012
62,North,-30,0.07216769188254199,2012
63,South,-30,0.04722189874024702,2012
64,North,-24,0.04469744049253537,2012
65,South,-24,0.024322007704783787,2012
66,North,-18,0.023972182906306767,2012
67,South,-18,0.0159959499147847,2012
68,North,-12,0.005891658516065931,2012
69,South,-12,0.005012933904901498,2012
70,North,-6,0.0,2012
71,South,-6,0.0,2012
72,North,-36,0.0876961542711902,2013
73,South,-36,0.09509965793194979,2013
74,North,-30,0.06379063922064694,2013
75,South,-30,0.04353071649415244,2013
76,North,-24,0.03741803501839594,2013
77,South,-24,0.02210209914563573,2013
78,North,-18,0.02117673069281491,2013
79,South,-18,0.013440344774061596,2013
80,North,-12,0.005511497844915054,2013
81,South,-12,0.003828518437423526,2013
82,North,-6,0.0,2013
83,South,-6,0.0,2013
84,North,-36,0.08516024152345564,2014
85,South,-36,0.09474114998976878,2014
86,North,-30,0.061233394458628396,2014
87,South,-30,0.04106400977535483,2014
88,North,-24,0.03517594028693292,2014
89,South,-24,0.02061534137840033,2014
90,North,-18,0.01878593675131768,2014
91,South,-18,0.01334102767230311,2014
92,North,-12,0.004139704465230971,2014
93,South,-12,0.00358637392874545,2014
94,North,-6,0.0,2014
95,South,-6,0.0,2014
96,North,-36,0.09448640171680904,2015
97,South,-36,0.08940702335496871,2015
98,North,-30,0.0620667173747691,2015
99,South,-30,0.040956453652954285,2015
100,North,-24,0.03330688980223162,2015
101,South,-24,0.021957885900887528,2015
102,North,-18,0.01912355227705755,2015
103,South,-18,0.01427860314236175,2015
104,North,-12,0.004972153164539381,2015
105,South,-12,0.0043185272876286275,2015
106,North,-6,0.0,2015
107,South,-6,0.0,2015
108,North,-36.0,0.08928099779897286,2016
109,South,-36.0,0.08853308513715774,2016
110,North,-30.0,0.05752854458736811,2016
111,South,-30.0,0.040796292973326716,2016
112,North,-24.0,0.033108102533640243,2016
113,South,-24.0,0.021332070707070706,2016
114,North,-18.0,0.019214706038773538,2016
115,South,-18.0,0.013358233958330749,2016
116,North,-12.0,0.004743963101290468,2016
117,South,-12.0,0.003965624692491882,2016
118,North,-6.0,0.0,2016
119,South,-6.0,0.0,2016
