,Hemisphere,min_temp,Occurance rate,year
0,North,-36,0.12161692160272562,2007
1,South,-36,0.12072033285459138,2007
2,North,-30,0.07510560539180787,2007
3,South,-30,0.05541574075336396,2007
4,North,-24,0.04486778522837392,2007
5,South,-24,0.0283688301839095,2007
6,North,-18,0.024914636616803224,2007
7,South,-18,0.018165237817767545,2007
8,North,-12,0.007436977829216247,2007
9,South,-12,0.005801093206502449,2007
10,North,-6,0.0,2007
11,South,-6,0.0,2007
12,North,-36,0.11784523955840569,2008
13,South,-36,0.12095282493947096,2008
14,North,-30,0.07719042387969241,2008
15,South,-30,0.05472813681098679,2008
16,North,-24,0.04642046626779451,2008
17,South,-24,0.027814135167502644,2008
18,North,-18,0.025366885801358652,2008
19,South,-18,0.01802778900325671,2008
20,North,-12,0.006800757280771245,2008
21,South,-12,0.005968842826680075,2008
22,North,-6,0.0,2008
23,South,-6,0.0,2008
24,North,-36,0.11455387489297668,2009
25,South,-36,0.11763417057332493,2009
26,North,-30,0.07177109037022335,2009
27,South,-30,0.052009412576384785,2009
28,North,-24,0.043517621861012365,2009
29,South,-24,0.026818269591194613,2009
30,North,-18,0.024674254457727723,2009
31,South,-18,0.017408414404054353,2009
32,North,-12,0.007173642712925037,2009
33,South,-12,0.005648352406982619,2009
34,North,-6,0.0,2009
35,South,-6,0.0,2009
36,North,-36,0.12043310417392417,2010
37,South,-36,0.12880024504577162,2010
38,North,-30,0.07583445481651267,2010
39,South,-30,0.05873929894277234,2010
40,North,-24,0.04648324247203806,2010
41,South,-24,0.029886845827439886,2010
42,North,-18,0.027383097009143036,2010
43,South,-18,0.019399724895269393,2010
44,North,-12,0.007714797576030989,2010
45,South,-12,0.006136102874342507,2010
46,North,-6,0.0,2010
47,South,-6,0.0,2010
48,North,-36,0.12319025007453516,2011
49,South,-36,0.13008526094143727,2011
50,North,-30,0.08238866204087071,2011
51,South,-30,0.06207721070385078,2011
52,North,-24,0.05039186075273717,2011
53,South,-24,0.03292278739379183,2011
54,North,-18,0.029425770341637573,2011
55,South,-18,0.02327812891848975,2011
56,North,-12,0.009440721158642204,2011
57,South,-12,0.007983499582155367,2011
58,North,-6,0.0,2011
59,South,-6,0.0,2011
60,North,-36,0.12438656633618299,2012
61,South,-36,0.1285881875850882,2012
62,North,-30,0.08245091269712543,2012
63,South,-30,0.05942796395959176,2012
64,North,-24,0.05197376524202488,2012
65,South,-24,0.02990896566627948,2012
66,North,-18,0.029221869060654534,2012
67,South,-18,0.019858009524016614,2012
68,North,-12,0.008337336018437322,2012
69,South,-12,0.006522160148975792,2012
70,North,-6,0.0,2012
71,South,-6,0.0,2012
72,North,-36,0.1168338519340543,2013
73,South,-36,0.12142339345870112,2013
74,North,-30,0.07272014101421764,2013
75,South,-30,0.054232616293938794,2013
76,North,-24,0.04374903053125237,2013
77,South,-24,0.0275250007197276,2013
78,North,-18,0.02543320220771199,2013
79,South,-18,0.017127893734129217,2013
80,North,-12,0.007122945393859723,2013
81,South,-12,0.005223559697206694,2013
82,North,-6,0.0,2013
83,South,-6,0.0,2013
84,North,-36,0.11302844467640918,2014
85,South,-36,0.12008168144237474,2014
86,North,-30,0.0705852761314867,2014
87,South,-30,0.05375610614795582,2014
88,North,-24,0.04170216859522304,2014
89,South,-24,0.0259079945164593,2014
90,North,-18,0.02329785697566126,2014
91,South,-18,0.017039046096126605,2014
92,North,-12,0.005675185513030854,2014
93,South,-12,0.004882725408008562,2014
94,North,-6,0.0,2014
95,South,-6,0.0,2014
96,North,-36,0.11911609525977117,2015
97,South,-36,0.11464021751617968,2015
98,North,-30,0.07069122460441965,2015
99,South,-30,0.05329611446383015,2015
100,North,-24,0.039140297459509456,2015
101,South,-24,0.02773040748726783,2015
102,North,-18,0.022482000137343045,2015
103,South,-18,0.018713393233792584,2015
104,North,-12,0.00655143671653012,2015
105,South,-12,0.006157692773009142,2015
106,North,-6,0.0,2015
107,South,-6,0.0,2015
